type,s_frontend,s_backend,lf_react,lf_angular,lf_javascript,lf_kotlin,lb_node,lb_dotnet,lb_java,Complexity_value,t_design,t_frontend,t_backend,t_qa
1,2,2,1,0,0,0,1,0,0,"5,25",2,6,11,2
1,2,2,1,0,0,0,1,0,0,"5,25",2,6,11,2
1,2,2,1,0,0,0,1,0,0,"9,45",2,19,14,4
1,2,2,1,0,0,0,1,0,0,"4,5",2,5,9,2
1,2,2,1,0,0,0,1,0,0,"4,5",2,5,9,2
1,2,2,1,0,0,0,1,0,0,"5,6",2,9,9,3
1,2,2,1,0,0,0,1,0,0,"3,5",2,4,6,2
1,2,2,1,0,0,0,1,0,0,"2,45",1,7,0,1
1,2,2,1,0,0,0,1,0,0,"2,7",1,8,0,1
1,2,2,1,0,0,0,1,0,0,"5,2",3,7,9,2
1,2,2,1,0,0,0,1,0,0,"10,15",3,17,18,4
1,2,2,1,0,0,0,1,0,0,"11,75",6,17,22,4
1,2,2,1,0,0,0,1,0,0,"3,95",3,4,7,2
1,2,2,1,0,0,0,1,0,0,"3,75",2,4,7,2
1,2,2,1,0,0,0,1,0,0,4,2,6,6,2
1,2,2,1,0,0,0,1,0,0,"5,15",4,7,8,2
1,2,2,1,0,0,0,1,0,0,"2,9",2,4,4,1
1,2,2,1,0,0,0,1,0,0,"3,75",2,5,6,2
1,2,2,1,0,0,0,1,0,0,"1,65",2,3,0,1
1,2,2,1,0,0,0,1,0,0,"1,65",2,3,0,1
1,2,2,1,0,0,0,1,0,0,"3,95",3,11,0,2
1,2,2,1,0,0,0,1,0,0,"5,7",3,0,18,2
1,2,2,1,0,0,0,1,0,0,"7,5",4,5,19,3
1,2,2,1,0,0,0,1,0,0,"9,95",2,17,18,4
1,2,2,1,0,0,0,1,0,0,"4,95",3,8,7,2
1,2,2,1,0,0,0,1,0,0,"6,8",2,12,12,0
1,2,2,1,0,0,0,1,0,0,"5,15",4,7,8,2
1,2,2,1,0,0,0,1,0,0,"0,8",2,0,0,0
1,2,2,1,0,0,0,1,0,0,"4,9",4,0,14,2
1,2,2,1,0,0,0,1,0,0,"4,4",4,4,8,2
1,2,2,1,0,0,0,1,0,0,"2,1",3,4,0,1
1,2,2,1,0,0,0,1,0,0,"2,1",3,4,0,1
1,2,2,1,0,0,0,1,0,0,"2,1",3,4,0,1
1,2,2,1,0,0,0,1,0,0,"1,9",2,4,0,1
1,2,2,1,0,0,0,1,0,0,"2,25",2,5,0,2
1,2,2,1,0,0,0,1,0,0,"6,95",3,6,17,2
1,2,2,1,0,0,0,1,0,0,"2,1",3,0,4,1
1,2,2,1,0,0,0,1,0,0,"3,5",2,6,4,2
0,2,3,0,0,0,1,1,0,0,"8,9",12,0,24,0
0,2,3,0,0,0,1,1,0,0,"2,3",4,4,0,0
0,2,3,0,0,0,1,1,0,0,"4,5",0,0,16,0
0,2,3,0,0,0,1,1,0,0,"1,5",0,4,0,0
0,2,3,0,0,0,1,1,0,0,"6,5",0,24,0,0
0,2,3,0,0,0,1,1,0,0,5,0,2,16,0
0,2,3,0,0,0,1,1,0,0,"3,5",0,4,8,0
0,2,3,0,0,0,1,1,0,0,"2,9",0,0,8,4
0,2,3,0,0,0,1,1,0,0,"2,9",0,8,0,4
0,2,3,0,0,0,1,1,0,0,"1,3",0,0,0,8
1,2,3,1,0,0,0,1,0,0,"8,3",2,16,12,4
1,2,3,1,0,0,0,1,0,0,"16,4",16,32,16,7
1,2,3,1,0,0,0,1,0,0,"10,1",16,16,8,4
1,2,3,1,0,0,0,1,0,0,5,20,0,0,5
1,2,3,1,0,0,0,1,0,0,"19,5",16,40,20,8
1,2,3,1,0,0,0,1,0,0,"5,4",2,6,6,15
1,2,3,1,0,0,0,1,0,0,"6,9",2,8,8,20
1,2,3,1,0,0,0,1,0,0,"8,3",2,12,16,4
1,2,3,1,0,0,0,1,0,0,"6,9",2,8,8,20
1,2,3,1,0,0,0,1,0,0,"20,7",16,32,32,10
1,2,3,1,0,0,0,1,0,0,"11,8",4,24,16,5
1,2,3,1,0,0,0,1,0,0,"13,9",4,24,24,6
1,2,3,1,0,0,0,1,0,0,"21,2",16,32,32,15
1,2,3,1,0,0,0,1,0,0,"11,7",16,16,16,0
1,2,2,1,0,0,0,1,0,0,"4,4",0,10,6,0
1,2,2,1,0,0,0,1,0,0,"3,4",0,10,2,0
1,2,2,1,0,0,0,1,0,0,"0,9",0,0,2,0
1,2,2,1,0,0,0,1,0,0,"2,4",0,5,3,0
1,2,2,1,0,0,0,1,0,0,"2,4",0,5,3,0
1,2,2,1,0,0,0,1,0,0,"4,4",0,6,10,0
1,2,2,1,0,0,0,1,0,0,"5,4",0,10,10,0
1,2,2,1,0,0,0,1,0,0,"1,9",0,3,3,0
1,2,2,1,0,0,0,1,0,0,"1,9",0,3,3,0
1,2,2,1,0,0,0,1,0,0,"1,9",0,3,3,0
1,2,2,1,0,0,0,1,0,0,"1,9",0,4,2,0
0,2,2,0,0,0,1,1,0,0,"3,4",0,6,6,0
0,2,2,0,0,0,1,1,0,0,"3,4",0,6,6,0
0,2,2,0,0,0,1,1,0,0,"2,4",0,4,4,0
0,2,2,0,0,0,1,1,0,0,"2,4",0,4,4,0
0,2,2,0,0,0,1,1,0,0,"3,4",0,6,6,0
0,2,2,0,0,0,1,1,0,0,"3,4",0,6,6,0
0,2,2,0,0,0,1,1,0,0,"2,4",0,4,4,0
1,2,3,0,1,0,0,0,1,0,"1,125",0,"0,5",2,0
1,2,3,0,1,0,0,0,1,0,"1,125",0,"0,5",2,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,1,2,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,1,2,0
1,2,3,0,1,0,0,0,1,0,"1,125",0,"0,5",2,0
1,2,3,0,1,0,0,0,1,0,"0,625",0,"0,5",0,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,2,3,0
1,2,3,0,1,0,0,0,1,0,"1,5",0,1,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,2,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,2,3,0
1,2,3,0,1,0,0,0,1,0,"1,5",0,1,3,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,"4,5",0,8,8,0
1,2,3,0,1,0,0,0,1,0,"3,5",0,4,8,0
1,2,3,0,1,0,0,0,1,0,"3,5",0,4,8,0
1,2,3,0,1,0,0,0,1,0,"3,5",0,2,10,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,25",0,0,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,2,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,2,3,0
1,2,3,0,1,0,0,0,1,0,"1,75",0,1,4,0
1,2,3,0,1,0,0,0,1,0,2,0,2,4,0
1,2,3,0,1,0,0,0,1,0,"2,5",0,4,4,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,1,0,2,0,0
1,2,3,0,1,0,0,0,1,0,"0,75",0,1,0,0
1,3,3,0,0,1,0,0,0,0,"16,8",8,28,28,6
1,3,3,0,0,1,0,0,0,0,"7,1",4,0,20,7
1,3,3,0,0,1,0,0,0,0,"18,6",8,32,32,4
1,3,3,0,0,1,0,0,0,0,"9,4",4,0,28,10
1,3,3,0,0,1,0,0,0,0,"16,9",8,24,32,7
1,3,3,0,0,1,0,0,0,0,"6,1",4,0,16,7
1,3,3,0,0,1,0,0,0,0,"8,1",4,0,24,7
1,3,3,0,0,1,0,0,0,0,19,8,24,40,8
1,3,3,0,0,1,0,0,0,0,"16,9",8,24,32,7
1,3,3,0,0,1,0,0,0,0,19,8,24,40,8
0,3,3,0,0,0,1,1,0,0,"10,1",4,16,16,7
0,3,3,0,0,0,1,1,0,0,"16,4",4,32,24,10
0,3,3,0,0,0,1,1,0,0,"12,1",4,24,16,7
0,3,3,0,0,0,1,1,0,0,"10,1",4,16,16,7
1,2,2,1,0,0,0,1,0,0,"1,4",0,4,0,0
1,2,2,1,0,0,0,1,0,0,"1,15",0,3,0,0
1,2,2,1,0,0,0,1,0,0,"1,15",0,3,0,0
1,2,2,1,0,0,0,1,0,0,"1,15",0,3,0,0
1,2,2,1,0,0,0,1,0,0,"1,15",0,3,0,0
1,2,2,1,0,0,0,1,0,0,"3,4",0,12,0,0
1,3,3,0,1,0,0,1,0,0,"4,6",0,0,16,0
1,3,3,0,1,0,0,1,0,0,"1,6",0,0,4,0
1,3,3,0,1,0,0,1,0,0,"2,6",0,8,0,0
1,3,3,0,1,0,0,1,0,0,"2,6",0,8,0,0
1,3,3,0,1,0,0,1,0,0,"1,6",0,4,0,0
1,2,2,1,0,0,0,1,0,0,"1,55",4,1,0,1
1,2,2,1,0,0,0,1,0,0,"3,4",4,8,0,2
1,2,2,1,0,0,0,1,0,0,"2,4",4,4,0,2
1,2,2,1,0,0,0,1,0,0,"1,45",1,3,0,1
1,2,2,1,0,0,0,1,0,0,"1,45",1,3,0,1
1,2,2,1,0,0,0,1,0,0,"7,6",15,16,0,2
1,2,2,1,0,0,0,1,0,0,4,15,2,0,1
1,2,2,1,0,0,0,1,0,0,4,15,2,0,1
1,2,2,1,0,0,0,1,0,0,"1,5",0,4,0,1
1,2,2,1,0,0,0,1,0,0,2,0,6,0,1
1,2,2,1,0,0,0,1,0,0,"1,25",0,3,0,1
1,2,2,1,0,0,0,1,0,0,"3,6",0,12,0,2
1,2,2,1,0,0,0,1,0,0,"4,7",0,16,0,3
1,2,2,1,0,0,0,1,0,0,"1,6",0,4,0,2
1,2,2,1,0,0,0,1,0,0,"2,7",0,8,0,3
1,2,2,1,0,0,0,1,0,0,"3,6",0,12,0,2
1,2,2,1,0,0,0,1,0,0,"0,65",0,1,0,0
1,2,2,1,0,0,0,1,0,0,1,0,2,0,1
1,2,2,1,0,0,0,1,0,0,"3,8",0,12,0,4
1,2,2,1,0,0,0,1,0,0,"5,4",0,20,0,0
1,2,2,1,0,0,0,1,0,0,"2,4",0,8,0,0
1,1,1,1,0,0,0,1,0,0,"4,2",0,16,0,0
1,1,1,1,0,0,0,1,0,0,"1,7",0,6,0,0
1,1,1,1,0,0,0,1,0,0,"1,7",0,6,0,0
1,1,1,1,0,0,0,1,0,0,"1,7",0,6,0,0
1,1,1,1,0,0,0,1,0,0,"8,4",0,16,16,2
1,1,1,1,0,0,0,1,0,0,19,0,32,40,8
1,1,1,1,0,0,0,1,0,0,"3,7",0,6,8,0
1,1,1,1,0,0,0,1,0,0,"2,7",0,4,6,0
1,1,1,1,0,0,0,1,0,0,"8,3",0,12,20,1
1,1,1,1,0,0,0,1,0,0,"1,8",0,6,0,1
1,1,1,1,0,0,0,1,0,0,19,0,32,40,8
1,1,1,1,0,0,0,1,0,0,"8,2",0,16,16,0
1,1,1,1,0,0,0,1,0,0,"1,9",0,6,0,2
1,1,1,1,0,0,0,1,0,0,"9,4",0,20,16,2
1,1,1,1,0,0,0,1,0,0,"3,9",0,6,8,2
1,1,1,1,0,0,0,1,0,0,"3,9",0,6,8,2
1,1,1,1,0,0,0,1,0,0,"20,6",0,40,40,4
1,1,1,1,0,0,0,1,0,0,"5,4",0,12,8,2
1,1,1,1,0,0,0,1,0,0,"3,9",0,8,6,2
1,1,1,1,0,0,0,1,0,0,"8,6",0,16,16,4
1,1,1,1,0,0,0,1,0,0,"7,6",0,12,16,4
1,1,1,1,0,0,0,1,0,0,"5,6",0,8,12,4
1,1,1,1,0,0,0,1,0,0,"6,6",0,8,16,4
1,1,1,1,0,0,0,1,0,0,"9,4",0,16,16,12
1,1,2,0,1,0,0,0,1,0,"4,3",20,0,0,0
1,1,2,0,1,0,0,0,1,0,"6,3",0,16,8,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,2,6,0
1,1,2,0,1,0,0,0,1,0,"1,3",0,4,0,0
1,1,2,0,1,0,0,0,1,0,"6,8",0,20,6,0
1,1,2,0,1,0,0,0,1,0,"1,3",0,2,2,0
1,1,2,0,1,0,0,0,1,0,"0,8",0,1,1,0
1,1,2,0,1,0,0,0,1,0,"1,8",0,2,4,0
1,1,2,0,1,0,0,0,1,0,"2,8",0,6,4,0
1,1,2,0,1,0,0,0,1,0,"4,3",20,0,0,0
1,1,2,0,1,0,0,0,1,0,"5,3",0,12,8,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,8,0,0
1,1,2,0,1,0,0,0,1,0,"2,8",0,6,4,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,2,6,0
1,1,2,0,1,0,0,0,1,0,"3,3",0,8,4,0
1,1,2,0,1,0,0,0,1,0,"4,3",0,10,6,0
1,1,2,0,1,0,0,0,1,0,"1,8",0,4,2,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,4,4,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,6,2,0
1,1,2,0,1,0,0,0,1,0,"3,8",0,8,6,0
1,1,2,0,1,0,0,0,1,0,"4,3",0,0,16,0
1,1,2,0,1,0,0,0,1,0,"3,8",0,0,14,0
1,1,2,0,1,0,0,0,1,0,"2,8",0,0,10,0
1,1,2,0,1,0,0,0,1,0,"3,3",0,0,12,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,0,8,0
1,1,2,0,1,0,0,0,1,0,"3,3",0,0,12,0
1,1,2,0,1,0,0,0,1,0,"2,8",0,0,10,0
1,1,2,0,1,0,0,0,1,0,"2,3",0,0,8,0
1,1,2,0,1,0,0,0,1,0,"3,3",0,0,12,0
1,1,2,0,1,0,0,0,1,0,"4,3",0,0,16,0
1,1,2,0,1,0,0,0,1,0,"3,3",0,0,12,0
1,2,2,0,1,0,0,0,1,0,"1,65",0,5,0,0
1,2,2,0,1,0,0,0,1,0,"3,525",0,"4,5",8,0
1,2,2,0,1,0,0,0,1,0,"1,4",0,4,0,0
1,2,2,0,1,0,0,0,1,0,"1,65",0,5,0,0
1,2,2,0,1,0,0,0,1,0,"0,9",0,2,0,0
1,2,2,0,1,0,0,0,1,0,"3,4",0,12,0,0
1,2,2,0,1,0,0,0,1,0,"2,9",0,10,0,0
1,2,2,0,1,0,0,0,1,0,"4,4",0,8,8,0
1,2,2,0,1,0,0,0,1,0,"3,9",0,6,8,0
1,2,2,0,1,0,0,0,1,0,"1,9",0,6,0,0
1,2,2,0,1,0,0,0,1,0,"1,9",0,6,0,0
1,2,2,0,1,0,0,0,1,0,"1,4",0,4,0,0
1,2,2,0,1,0,0,0,1,0,"3,65",0,5,8,0
1,2,2,0,1,0,0,0,1,0,"4,4",0,8,8,0
1,2,2,1,0,0,0,1,0,0,"13,7",4,24,24,5
1,2,2,1,0,0,0,1,0,0,"12,4",2,24,20,6
1,2,2,1,0,0,0,1,0,0,11,1,20,20,4
1,2,2,1,0,0,0,1,0,0,"9,3",2,16,16,5
1,2,2,1,0,0,0,1,0,0,"2,9",1,4,4,3
1,2,2,1,0,0,0,1,0,0,"6,2",2,12,8,4
1,2,2,1,0,0,0,1,0,0,"5,25",0,8,10,"3,5"
1,2,2,1,0,0,0,1,0,0,"5,95",1,8,12,"3,5"
1,2,2,1,0,0,0,1,0,0,"9,1",1,16,16,5
1,2,2,1,0,0,0,1,0,0,"9,9",3,18,16,4
1,2,2,1,0,0,0,1,0,0,"4,9",1,8,8,3
1,2,2,1,0,0,0,1,0,0,"9,2",3,16,16,2
1,2,2,1,0,0,0,1,0,0,"7,35",1,14,12,"2,5"
1,2,2,1,0,0,0,1,0,0,"5,8",1,12,8,2
1,2,2,1,0,0,0,1,0,0,"7,15",2,12,12,"3,5"
1,2,2,1,0,0,0,1,0,0,"7,15",2,12,12,"3,5"
1,2,2,1,0,0,0,1,0,0,"7,75",3,10,16,"2,5"
1,1,3,1,0,0,0,1,0,0,4,4,2,8,3
1,1,3,1,0,0,0,1,0,0,"3,2",0,2,8,3
1,1,3,1,0,0,0,1,0,0,"5,2",0,2,16,3
1,1,3,1,0,0,0,1,0,0,"7,1",2,12,12,3
1,1,3,1,0,0,0,1,0,0,"6,5",4,12,8,3
1,1,3,1,0,0,0,1,0,0,"10,5",4,12,24,3
1,1,3,1,0,0,0,1,0,0,"8,5",4,12,16,3
1,1,3,1,0,0,0,1,0,0,"5,5",4,8,8,3
1,1,3,1,0,0,0,1,0,0,"4,9",1,8,8,3
1,1,3,1,0,0,0,1,0,0,"5,5",4,8,8,3
1,1,3,1,0,0,0,1,0,0,"4,4",1,6,8,3
1,1,3,1,0,0,0,1,0,0,5,4,6,8,3
1,1,3,1,0,0,0,1,0,0,"4,9",1,8,8,3
1,1,3,1,0,0,0,1,0,0,"10,5",4,12,24,3
1,1,3,1,0,0,0,1,0,0,"7,5",4,8,16,3
1,1,3,1,0,0,0,1,0,0,"7,5",4,8,16,3
1,1,3,1,0,0,0,1,0,0,"6,2",2,4,16,4
1,1,3,1,0,0,0,1,0,0,"6,2",2,4,16,4
1,1,3,1,0,0,0,1,0,0,"2,8",0,0,8,4
1,1,3,1,0,0,0,1,0,0,"2,8",0,0,8,4
1,1,3,1,0,0,0,1,0,0,"13,6",4,16,32,4
1,1,3,1,0,0,0,1,0,0,"17,8",5,24,40,4
1,1,3,1,0,0,0,1,0,0,"14,6",4,12,40,4
1,2,2,1,0,0,0,1,0,0,"2,42",2,3,3,"1,2"
1,2,2,1,0,0,0,1,0,0,"0,94",0,1,1,"0,4"
1,2,2,1,0,0,0,1,0,0,"1,75",0,2,3,1
1,2,2,1,0,0,0,1,0,0,"4,17",4,11,0,"2,2"
1,2,2,1,0,0,0,1,0,0,"1,6",1,4,0,0
1,2,2,1,0,0,0,1,0,0,"0,85",1,1,0,0
1,2,2,1,0,0,0,1,0,0,"2,62",3,4,2,"1,2"
1,2,2,1,0,0,0,1,0,0,"2,82",4,6,0,"1,2"
1,2,2,1,0,0,0,1,0,0,"2,96",2,6,2,"1,6"
1,2,2,1,0,0,0,1,0,0,"1,95",1,4,1,1
1,2,2,1,0,0,0,1,0,0,"5,46",1,12,6,"3,6"
1,2,2,1,0,0,0,1,0,0,"2,76",1,4,4,"1,6"
1,2,2,1,0,0,0,1,0,0,"2,02",0,2,4,"1,2"
1,2,2,1,0,0,0,1,0,0,"2,96",2,8,0,"1,6"
1,2,2,1,0,0,0,1,0,0,"2,82",4,6,0,"1,2"
1,2,2,1,0,0,0,1,0,0,"3,2",4,4,4,0
1,2,2,1,0,0,0,1,0,0,"3,09",4,4,3,"1,4"
1,2,2,1,0,0,0,1,0,0,"3,43",3,4,5,"1,8"
1,2,2,1,0,0,0,1,0,0,"2,42",2,4,2,"1,2"
1,2,2,1,0,0,0,1,0,0,"2,76",1,2,6,"1,6"
1,2,2,0,1,0,0,0,1,0,"5,4",0,6,14,0
1,2,2,0,1,0,0,0,1,0,"6,4",0,8,16,0
1,2,2,0,1,0,0,0,1,0,"8,4",0,14,18,0
1,2,2,0,1,0,0,0,1,0,"6,4",0,10,14,0
1,2,2,0,1,0,0,0,1,0,"6,4",0,8,16,0
1,2,2,0,1,0,0,0,1,0,"3,4",0,8,4,0
1,2,2,0,1,0,0,0,1,0,"3,4",0,8,4,0
1,2,2,0,1,0,0,0,1,0,"2,9",0,6,4,0
1,2,2,0,1,0,0,0,1,0,"9,4",0,10,26,0
1,2,2,0,1,0,0,0,1,0,"2,4",0,4,4,0
0,2,2,0,0,0,1,1,0,0,"3,2",0,8,0,8
0,2,2,0,0,0,1,1,0,0,"3,2",0,8,0,8
0,2,2,0,0,0,1,1,0,0,"6,2",0,20,0,8
0,2,2,0,0,0,1,1,0,0,"6,4",0,24,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"2,4",0,8,0,0
0,2,2,0,0,0,1,1,0,0,"6,4",0,24,0,0
0,2,2,0,0,0,1,1,0,0,"2,4",0,8,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"0,9",0,2,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
0,2,2,0,0,0,1,1,0,0,"4,4",0,16,0,0
0,2,2,0,0,0,1,1,0,0,"1,4",0,4,0,0
1,2,3,0,1,0,0,0,0,1,"4,7",0,8,8,2
1,2,3,0,1,0,0,0,0,1,"6,7",0,12,12,2
1,2,3,0,1,0,0,0,0,1,"4,7",0,8,8,2
1,2,3,0,1,0,0,0,0,1,"4,7",0,8,8,2
1,2,3,0,1,0,0,0,0,1,"10,6",0,20,20,1
1,2,3,0,1,0,0,0,0,1,"4,6",0,8,8,1
1,2,3,0,1,0,0,0,0,1,"4,6",0,8,8,1
1,2,3,0,1,0,0,0,0,1,"1,6",0,2,2,1
1,2,3,0,1,0,0,0,0,1,"8,6",0,16,16,1
1,2,3,0,1,0,0,0,0,1,"4,7",0,8,8,2
1,2,3,0,1,0,0,0,0,1,"10,6",0,20,20,1
1,2,3,0,1,0,0,0,0,1,"6,7",0,12,12,2
1,2,3,0,1,0,0,0,0,1,"6,6",0,12,12,1
1,2,3,0,1,0,0,0,0,1,"4,6",0,8,8,1
1,2,3,0,1,0,0,0,0,1,"4,9",0,8,8,4
1,2,3,0,1,0,0,0,0,1,"6,9",0,12,12,4
1,2,3,0,1,0,0,0,0,1,"20,9",0,40,40,4
1,2,3,0,1,0,0,0,0,1,"8,9",0,16,16,4
